"Date","Div","Home","Away","Season","Res","AvgH","AvgD","AvgA","Date_Stryktipset","Matchnr"
"2008-08-15","D1","Bayern Munich","Hamburg",2008,"D",1.64,3.55,5.23,"",NA
"2008-08-15","D2","Aachen","Wehen",2008,"H",1.66,3.46,4.72,"",NA
"2008-08-15","D2","Mainz","Kaiserslautern",2008,"D",1.85,3.33,3.88,"",NA
"2008-08-15","D2","St Pauli","Osnabruck",2008,"D",1.78,3.38,4.15,"",NA
"2008-08-16","D1","Bielefeld","Werder Bremen",2008,"D",4.3,3.45,1.8,"",NA
"2008-08-16","D1","Cottbus","Hoffenheim",2008,"A",2.43,3.24,2.79,"",NA
"2008-08-16","D1","Karlsruhe","Bochum",2008,"H",2.17,3.25,3.23,"",NA
"2008-08-16","D1","Leverkusen","Dortmund",2008,"A",2.03,3.31,3.49,"",NA
"2008-08-16","D1","Schalke 04","Hannover",2008,"H",1.61,3.59,5.58,"",NA
"2008-08-16","D1","Wolfsburg","FC Koln",2008,"H",1.6,3.64,5.58,"",NA
"2008-08-17","D1","Ein Frankfurt","Hertha",2008,"A",2.27,3.24,2.98,"",NA
"2008-08-17","D1","M'gladbach","Stuttgart",2008,"A",2.68,3.23,2.51,"",NA
"2008-08-17","D2","Ahlen","Frankfurt FSV",2008,"H",2.12,3.23,3.09,"",NA
"2008-08-17","D2","Freiburg","Munich 1860",2008,"H",1.88,3.26,3.76,"",NA
"2008-08-17","D2","Ingolstadt","Greuther Furth",2008,"H",2.42,3.22,2.64,"",NA
"2008-08-17","D2","Koblenz","Oberhausen",2008,"H",1.93,3.26,3.59,"",NA
"2008-08-17","D2","Nurnberg","Augsburg",2008,"H",1.51,3.71,5.77,"",NA
"2008-08-18","D2","Duisburg","Hansa Rostock",2008,"D",1.94,3.25,3.54,"",NA
"2008-08-22","D1","Hannover","Cottbus",2008,"D",1.59,3.63,5.71,"",NA
"2008-08-22","D2","Frankfurt FSV","Koblenz",2008,"D",2.18,3.27,3.02,"",NA
"2008-08-22","D2","Greuther Furth","St Pauli",2008,"H",1.76,3.4,4.34,"",NA
"2008-08-22","D2","Osnabruck","Freiburg",2008,"D",2.75,3.22,2.38,"",NA
"2008-08-23","D1","Dortmund","Bayern Munich",2008,"D",3.36,3.27,2.09,"",NA
"2008-08-23","D1","Hamburg","Karlsruhe",2008,"H",1.43,4.07,7.44,"",NA
"2008-08-23","D1","Hertha","Bielefeld",2008,"D",1.63,3.54,5.39,"",NA
"2008-08-23","D1","Hoffenheim","M'gladbach",2008,"H",1.99,3.29,3.65,"",NA
"2008-08-23","D1","Stuttgart","Leverkusen",2008,"A",1.93,3.37,3.73,"",NA
"2008-08-23","D1","Werder Bremen","Schalke 04",2008,"D",1.97,3.34,3.65,"",NA
"2008-08-24","D1","Bochum","Wolfsburg",2008,"D",2.89,3.24,2.34,"",NA
"2008-08-24","D1","FC Koln","Ein Frankfurt",2008,"D",2.24,3.23,3.06,"",NA
"2008-08-24","D2","Augsburg","Ahlen",2008,"H",1.91,3.27,3.7,"",NA
"2008-08-24","D2","Hansa Rostock","Aachen",2008,"H",1.93,3.26,3.65,"",NA
"2008-08-24","D2","Munich 1860","Mainz",2008,"A",2.3,3.23,2.82,"",NA
"2008-08-24","D2","Oberhausen","Ingolstadt",2008,"H",2.38,3.22,2.71,"",NA
"2008-08-24","D2","Wehen","Duisburg",2008,"D",2.79,3.23,2.32,"",NA
"2008-08-25","D2","Kaiserslautern","Nurnberg",2008,"H",2.57,3.19,2.55,"",NA
"2008-08-29","D1","Karlsruhe","FC Koln",2008,"A",2.08,3.26,3.4,"",NA
"2008-08-29","D2","Duisburg","Augsburg",2008,"H",1.69,3.46,4.72,"",NA
"2008-08-29","D2","Ingolstadt","Kaiserslautern",2008,"A",2.64,3.24,2.46,"",NA
"2008-08-29","D2","Mainz","Osnabruck",2008,"H",1.43,3.97,7.01,"",NA
"2008-08-30","D1","Bielefeld","Hamburg",2008,"A",3.63,3.28,1.98,"",NA
"2008-08-30","D1","Cottbus","Dortmund",2008,"A",3.32,3.26,2.1,"",NA
"2008-08-30","D1","Leverkusen","Hoffenheim",2008,"H",1.77,3.44,4.39,"",NA
"2008-08-30","D1","M'gladbach","Werder Bremen",2008,"H",4.09,3.4,1.84,"",NA
"2008-08-30","D1","Schalke 04","Bochum",2008,"H",1.41,4.08,7.59,"",NA
"2008-08-30","D1","Wolfsburg","Ein Frankfurt",2008,"D",1.63,3.56,5.22,"",NA
"2008-08-31","D1","Bayern Munich","Hertha",2008,"H",1.4,4.17,7.8,"",NA
"2008-08-31","D1","Stuttgart","Hannover",2008,"H",1.75,3.44,4.52,"",NA
"2008-08-31","D2","Ahlen","Munich 1860",2008,"H",2.54,3.2,2.54,"",NA
"2008-08-31","D2","Frankfurt FSV","Greuther Furth",2008,"D",2.52,3.21,2.55,"",NA
"2008-08-31","D2","Koblenz","Wehen",2008,"D",1.91,3.27,3.7,"",NA
"2008-08-31","D2","Nurnberg","Aachen",2008,"D",1.71,3.41,4.48,"",NA
"2008-08-31","D2","St Pauli","Oberhausen",2008,"H",1.87,3.29,3.82,"",NA
"2008-09-01","D2","Freiburg","Hansa Rostock",2008,"H",2.15,3.21,3.06,"",NA
"2008-09-12","D2","Aachen","Ingolstadt",2008,"H",1.59,3.6,5.31,"",NA
"2008-09-12","D2","Kaiserslautern","St Pauli",2008,"H",1.57,3.63,5.5,"",NA
"2008-09-12","D2","Oberhausen","Ahlen",2008,"A",2.17,3.24,3.08,"",NA
"2008-09-13","D1","Dortmund","Schalke 04",2008,"D",2.53,3.2,2.64,"",NA
"2008-09-13","D1","FC Koln","Bayern Munich",2008,"A",5.31,3.55,1.62,"",NA
"2008-09-13","D1","Hamburg","Leverkusen",2008,"H",2.02,3.26,3.5,"",NA
"2008-09-13","D1","Hertha","Wolfsburg",2008,"D",2.3,3.24,2.9,"",NA
"2008-09-13","D1","Hoffenheim","Stuttgart",2008,"D",2.8,3.23,2.37,"",NA
"2008-09-13","D1","Werder Bremen","Cottbus",2008,"H",1.26,5.18,10.02,"",NA
"2008-09-14","D1","Bochum","Bielefeld",2008,"H",1.92,3.28,3.8,"",NA
"2008-09-14","D1","Hannover","M'gladbach",2008,"H",1.89,3.34,3.88,"",NA
"2008-09-14","D2","Augsburg","Freiburg",2008,"A",2.59,3.21,2.5,"",NA
"2008-09-14","D2","Greuther Furth","Koblenz",2008,"H",1.69,3.43,4.57,"",NA
"2008-09-14","D2","Hansa Rostock","Mainz",2008,"D",2.15,3.23,3.08,"",NA
"2008-09-14","D2","Osnabruck","Frankfurt FSV",2008,"H",2.13,3.24,3.11,"",NA
"2008-09-14","D2","Wehen","Nurnberg",2008,"D",2.95,3.23,2.21,"",NA
"2008-09-15","D2","Munich 1860","Duisburg",2008,"H",2.49,3.19,2.59,"",NA
"2008-09-19","D1","Leverkusen","Hannover",2008,"H",1.65,3.58,5.11,"",NA
"2008-09-19","D2","Ahlen","Hansa Rostock",2008,"D",2.86,3.23,2.3,"",NA
"2008-09-19","D2","Duisburg","Aachen",2008,"H",2.01,3.27,3.43,"",NA
"2008-09-19","D2","Koblenz","Augsburg",2008,"H",2.1,3.24,3.23,"",NA
"2008-09-19","D2","Mainz","Nurnberg",2008,"H",2.19,3.26,3.03,"",NA
"2008-09-19","D2","St Pauli","Munich 1860",2008,"H",2.18,3.26,3.04,"",NA
"2008-09-20","D1","Bayern Munich","Werder Bremen",2008,"A",1.7,3.48,4.78,"",NA
"2008-09-20","D1","Bielefeld","FC Koln",2008,"H",2.28,3.25,2.96,"",NA
"2008-09-20","D1","Cottbus","Bochum",2008,"D",2.36,3.22,2.84,"",NA
"2008-09-20","D1","M'gladbach","Hertha",2008,"A",2.38,3.25,2.82,"",NA
"2008-09-20","D1","Schalke 04","Ein Frankfurt",2008,"H",1.46,3.92,6.87,"",NA
"2008-09-21","D1","Hoffenheim","Dortmund",2008,"H",2.46,3.25,2.71,"",NA
"2008-09-21","D1","Stuttgart","Karlsruhe",2008,"H",1.53,3.76,6.02,"",NA
"2008-09-21","D1","Wolfsburg","Hamburg",2008,"H",2.42,3.23,2.77,"",NA
"2008-09-21","D2","Frankfurt FSV","Oberhausen",2008,"H",1.93,3.28,3.62,"",NA
"2008-09-21","D2","Freiburg","Wehen",2008,"H",1.48,3.74,6.36,"",NA
"2008-09-21","D2","Ingolstadt","Osnabruck",2008,"H",1.89,3.3,3.73,"",NA
"2008-09-22","D2","Greuther Furth","Kaiserslautern",2008,"A",2.4,3.21,2.7,"",NA
"2008-09-26","D1","FC Koln","Schalke 04",2008,"H",4.22,3.44,1.8,"",NA
"2008-09-26","D2","Hansa Rostock","St Pauli",2008,"H",1.64,3.56,4.91,"",NA
"2008-09-26","D2","Oberhausen","Greuther Furth",2008,"A",3.05,3.27,2.17,"",NA
"2008-09-26","D2","Osnabruck","Koblenz",2008,"H",2.14,3.24,3.15,"",NA
"2008-09-27","D1","Bochum","Leverkusen",2008,"A",3.28,3.28,2.11,"",NA
"2008-09-27","D1","Dortmund","Stuttgart",2008,"H",2.4,3.24,2.81,"",NA
"2008-09-27","D1","Hamburg","M'gladbach",2008,"H",1.42,4.05,7.46,"",NA
"2008-09-27","D1","Hannover","Bayern Munich",2008,"H",6.16,3.72,1.53,"",NA
"2008-09-27","D1","Hertha","Cottbus",2008,"A",1.57,3.66,5.85,"",NA
"2008-09-27","D1","Werder Bremen","Hoffenheim",2008,"H",1.45,4.03,6.92,"",NA
"2008-09-28","D1","Ein Frankfurt","Bielefeld",2008,"D",1.91,3.3,3.9,"",NA
"2008-09-28","D1","Karlsruhe","Wolfsburg",2008,"H",2.97,3.25,2.27,"",NA
"2008-09-28","D2","Aachen","Freiburg",2008,"H",2.37,3.21,2.74,"",NA
"2008-09-28","D2","Augsburg","Mainz",2008,"A",2.91,3.22,2.25,"",NA
"2008-09-28","D2","Kaiserslautern","Frankfurt FSV",2008,"H",1.45,3.85,6.69,"",NA
"2008-09-28","D2","Munich 1860","Ingolstadt",2008,"D",1.82,3.33,4,"",NA
"2008-09-28","D2","Wehen","Ahlen",2008,"A",2.07,3.23,3.27,"",NA
"2008-09-29","D2","Nurnberg","Duisburg",2008,"A",1.83,3.29,3.99,"",NA
"2008-10-03","D1","Bielefeld","Karlsruhe",2008,"A",2.14,3.24,3.21,"",NA
"2008-10-03","D2","Frankfurt FSV","Munich 1860",2008,"A",2.31,3.24,2.84,"",NA
"2008-10-03","D2","Freiburg","Duisburg",2008,"H",1.89,3.3,3.81,"",NA
"2008-10-03","D2","Oberhausen","Augsburg",2008,"H",2.37,3.24,2.75,"",NA
"2008-10-04","D1","Bayern Munich","Bochum",2008,"D",1.24,5.35,10.84,"",NA
"2008-10-04","D1","Hoffenheim","Ein Frankfurt",2008,"H",1.7,3.46,4.73,"",NA
"2008-10-04","D1","Leverkusen","Hertha",2008,"A",1.61,3.54,5.44,"",NA
"2008-10-04","D1","M'gladbach","FC Koln",2008,"A",2.2,3.25,3.08,"",NA
"2008-10-04","D1","Stuttgart","Werder Bremen",2008,"H",2.48,3.27,2.66,"",NA
"2008-10-05","D1","Cottbus","Hamburg",2008,"A",3.59,3.28,1.99,"",NA
"2008-10-05","D1","Dortmund","Hannover",2008,"D",1.76,3.4,4.44,"",NA
"2008-10-05","D1","Schalke 04","Wolfsburg",2008,"D",1.77,3.4,4.4,"",NA
"2008-10-05","D2","Ahlen","Nurnberg",2008,"D",2.75,3.21,2.35,"",NA
"2008-10-05","D2","Greuther Furth","Osnabruck",2008,"H",1.61,3.51,5.19,"",NA
"2008-10-05","D2","Ingolstadt","Hansa Rostock",2008,"H",2.74,3.22,2.35,"",NA
"2008-10-05","D2","Koblenz","Kaiserslautern",2008,"H",3.13,3.23,2.12,"",NA
"2008-10-05","D2","St Pauli","Aachen",2008,"H",2.3,3.21,2.82,"",NA
"2008-10-06","D2","Mainz","Wehen",2008,"H",1.35,4.31,7.82,"",NA
"2008-10-17","D1","Bochum","M'gladbach",2008,"D",1.92,3.34,3.87,"",NA
"2008-10-17","D2","Kaiserslautern","Ahlen",2008,"H",1.6,3.61,5.23,"",NA
"2008-10-17","D2","Nurnberg","Freiburg",2008,"H",2.22,3.27,2.96,"",NA
"2008-10-17","D2","Osnabruck","Oberhausen",2008,"H",1.69,3.5,4.64,"",NA
"2008-10-18","D1","Ein Frankfurt","Leverkusen",2008,"A",3.37,3.3,2.06,"",NA
"2008-10-18","D1","FC Koln","Cottbus",2008,"H",1.83,3.32,4.16,"",NA
"2008-10-18","D1","Hannover","Hoffenheim",2008,"A",2.33,3.29,2.83,"",NA
"2008-10-18","D1","Hertha","Stuttgart",2008,"H",2.45,3.23,2.71,"",NA
"2008-10-18","D1","Karlsruhe","Bayern Munich",2008,"A",5.54,3.6,1.6,"",NA
"2008-10-18","D1","Werder Bremen","Dortmund",2008,"D",1.68,3.5,4.83,"",NA
"2008-10-18","D1","Wolfsburg","Bielefeld",2008,"H",1.45,3.91,7.19,"",NA
"2008-10-19","D1","Hamburg","Schalke 04",2008,"D",2.24,3.22,3.05,"",NA
"2008-10-19","D2","Augsburg","St Pauli",2008,"H",2.02,3.27,3.36,"",NA
"2008-10-19","D2","Duisburg","Ingolstadt",2008,"H",1.63,3.54,5,"",NA
"2008-10-19","D2","Hansa Rostock","Koblenz",2008,"H",1.66,3.48,4.82,"",NA
"2008-10-19","D2","Munich 1860","Greuther Furth",2008,"H",2.36,3.2,2.76,"",NA
"2008-10-19","D2","Wehen","Frankfurt FSV",2008,"H",2.27,3.22,2.89,"",NA
"2008-10-20","D2","Aachen","Mainz",2008,"H",2.55,3.2,2.53,"",NA
"2008-10-22","D1","Ein Frankfurt","Karlsruhe",2008,"H",2.08,3.26,3.33,"",NA
"2008-10-24","D1","Leverkusen","FC Koln",2008,"H",1.51,3.86,6.35,"",NA
"2008-10-24","D2","Ahlen","Freiburg",2008,"A",3.01,3.27,2.19,"",NA
"2008-10-24","D2","Frankfurt FSV","Hansa Rostock",2008,"D",3.06,3.3,2.16,"",NA
"2008-10-24","D2","Greuther Furth","Aachen",2008,"D",1.96,3.32,3.53,"",NA
"2008-10-24","D2","Ingolstadt","Augsburg",2008,"A",2.17,3.27,3.06,"",NA
"2008-10-24","D2","St Pauli","Wehen",2008,"H",1.56,3.71,5.5,"",NA
"2008-10-25","D1","Bayern Munich","Wolfsburg",2008,"H",1.59,3.66,5.56,"",NA
"2008-10-25","D1","Cottbus","Ein Frankfurt",2008,"A",2.24,3.23,3.06,"",NA
"2008-10-25","D1","Hannover","Werder Bremen",2008,"D",3.28,3.34,2.09,"",NA
"2008-10-25","D1","M'gladbach","Karlsruhe",2008,"H",2.11,3.27,3.31,"",NA
"2008-10-25","D1","Schalke 04","Bielefeld",2008,"D",1.31,4.74,9.58,"",NA
"2008-10-26","D1","Dortmund","Hertha",2008,"D",1.93,3.3,3.83,"",NA
"2008-10-26","D1","Hoffenheim","Hamburg",2008,"H",2.59,3.25,2.57,"",NA
"2008-10-26","D1","Stuttgart","Bochum",2008,"H",1.44,4.01,7.09,"",NA
"2008-10-26","D2","Koblenz","Nurnberg",2008,"D",2.92,3.24,2.24,"",NA
"2008-10-26","D2","Mainz","Duisburg",2008,"D",1.82,3.34,4.07,"",NA
"2008-10-26","D2","Oberhausen","Kaiserslautern",2008,"H",3.66,3.29,1.93,"",NA
"2008-10-26","D2","Osnabruck","Munich 1860",2008,"A",2.37,3.23,2.74,"",NA
"2008-10-28","D1","Bielefeld","Cottbus",2008,"D",1.91,3.31,3.85,"",NA
"2008-10-28","D1","Karlsruhe","Schalke 04",2008,"A",3.95,3.29,1.9,"",NA
"2008-10-28","D1","Werder Bremen","Leverkusen",2008,"A",2.07,3.32,3.35,"",NA
"2008-10-28","D1","Wolfsburg","M'gladbach",2008,"H",1.48,3.95,6.43,"",NA
"2008-10-28","D2","Aachen","Ahlen",2008,"A",1.56,3.65,5.56,"",NA
"2008-10-28","D2","Augsburg","Frankfurt FSV",2008,"D",1.72,3.4,4.53,"",NA
"2008-10-28","D2","Hansa Rostock","Greuther Furth",2008,"A",1.83,3.35,3.98,"",NA
"2008-10-28","D2","Wehen","Ingolstadt",2008,"D",2.13,3.24,3.15,"",NA
"2008-10-29","D1","Bochum","Hoffenheim",2008,"A",3.1,3.29,2.19,"",NA
"2008-10-29","D1","Ein Frankfurt","Bayern Munich",2008,"A",6.11,3.77,1.53,"",NA
"2008-10-29","D1","FC Koln","Dortmund",2008,"A",2.57,3.23,2.6,"",NA
"2008-10-29","D1","Hamburg","Stuttgart",2008,"H",2,3.28,3.56,"",NA
"2008-10-29","D1","Hertha","Hannover",2008,"H",1.89,3.3,3.97,"",NA
"2008-10-29","D2","Duisburg","St Pauli",2008,"A",1.53,3.65,5.84,"",NA
"2008-10-29","D2","Freiburg","Mainz",2008,"A",2.13,3.23,3.13,"",NA
"2008-10-29","D2","Kaiserslautern","Osnabruck",2008,"H",1.39,4.04,7.55,"",NA
"2008-10-29","D2","Munich 1860","Koblenz",2008,"H",1.64,3.48,4.89,"",NA
"2008-10-29","D2","Nurnberg","Oberhausen",2008,"H",1.42,3.99,6.92,"",NA
"2008-10-31","D1","Leverkusen","Wolfsburg",2008,"H",1.83,3.42,4.12,"",NA
"2008-10-31","D2","Frankfurt FSV","Aachen",2008,"A",2.61,3.24,2.49,"",NA
"2008-10-31","D2","Greuther Furth","Wehen",2008,"D",1.35,4.39,7.97,"",NA
"2008-11-01","D1","Bayern Munich","Bielefeld",2008,"H",1.2,6.05,12.68,"",NA
"2008-11-01","D1","Cottbus","Schalke 04",2008,"A",4.46,3.42,1.76,"",NA
"2008-11-01","D1","Hannover","Hamburg",2008,"H",3.15,3.28,2.16,"",NA
"2008-11-01","D1","Hoffenheim","Karlsruhe",2008,"H",1.48,3.86,6.55,"",NA
"2008-11-01","D1","Stuttgart","FC Koln",2008,"A",1.55,3.67,5.87,"",NA
"2008-11-01","D1","Werder Bremen","Hertha",2008,"H",1.71,3.48,4.64,"",NA
"2008-11-02","D1","Dortmund","Bochum",2008,"D",1.56,3.66,5.79,"",NA
"2008-11-02","D1","M'gladbach","Ein Frankfurt",2008,"A",2.09,3.27,3.33,"",NA
"2008-11-02","D2","Ahlen","Mainz",2008,"A",3.11,3.25,2.14,"",NA
"2008-11-02","D2","Ingolstadt","Freiburg",2008,"H",3,3.25,2.2,"",NA
"2008-11-02","D2","Koblenz","Duisburg",2008,"D",2.86,3.23,2.29,"",NA
"2008-11-02","D2","Oberhausen","Hansa Rostock",2008,"H",3.1,3.24,2.15,"",NA
"2008-11-02","D2","Osnabruck","Augsburg",2008,"D",2.17,3.23,3.09,"",NA
"2008-11-02","D2","St Pauli","Nurnberg",2008,"H",2.56,3.21,2.55,"",NA
"2008-11-03","D2","Kaiserslautern","Munich 1860",2008,"D",1.71,3.41,4.56,"",NA
"2008-11-07","D1","FC Koln","Hannover",2008,"H",2.23,3.24,3.08,"",NA
"2008-11-07","D2","Aachen","Koblenz",2008,"H",1.54,3.71,5.82,"",NA
"2008-11-07","D2","Nurnberg","Frankfurt FSV",2008,"D",1.36,4.28,8.18,"",NA
"2008-11-07","D2","Wehen","Kaiserslautern",2008,"H",3.76,3.35,1.9,"",NA
"2008-11-08","D1","Bielefeld","M'gladbach",2008,"A",2.12,3.25,3.28,"",NA
"2008-11-08","D1","Bochum","Werder Bremen",2008,"D",4.12,3.47,1.81,"",NA
"2008-11-08","D1","Hamburg","Dortmund",2008,"H",1.79,3.41,4.31,"",NA
"2008-11-08","D1","Karlsruhe","Leverkusen",2008,"D",4.77,3.45,1.71,"",NA
"2008-11-08","D1","Wolfsburg","Cottbus",2008,"H",1.28,5.01,10.09,"",NA
"2008-11-09","D1","Ein Frankfurt","Stuttgart",2008,"D",2.85,3.23,2.35,"",NA
"2008-11-09","D1","Hertha","Hoffenheim",2008,"H",2.64,3.29,2.48,"",NA
"2008-11-09","D1","Schalke 04","Bayern Munich",2008,"A",2.66,3.2,2.52,"",NA
"2008-11-09","D2","Augsburg","Greuther Furth",2008,"D",2.47,3.19,2.65,"",NA
"2008-11-09","D2","Duisburg","Ahlen",2008,"A",1.58,3.6,5.37,"",NA
"2008-11-09","D2","Hansa Rostock","Osnabruck",2008,"D",1.46,3.82,6.6,"",NA
"2008-11-09","D2","Mainz","Ingolstadt",2008,"A",1.38,4.17,7.78,"",NA
"2008-11-09","D2","Munich 1860","Oberhausen",2008,"A",1.54,3.65,5.83,"",NA
"2008-11-10","D2","Freiburg","St Pauli",2008,"H",1.65,3.49,4.95,"",NA
"2008-11-14","D1","Hannover","Bochum",2008,"D",1.85,3.34,4.15,"",NA
"2008-11-14","D2","Munich 1860","Augsburg",2008,"A",1.95,3.31,3.61,"",NA
"2008-11-14","D2","Osnabruck","Wehen",2008,"D",1.91,3.31,3.72,"",NA
"2008-11-14","D2","St Pauli","Ahlen",2008,"D",1.83,3.37,3.99,"",NA
"2008-11-15","D1","Cottbus","Karlsruhe",2008,"H",2.27,3.23,2.98,"",NA
"2008-11-15","D1","Dortmund","Ein Frankfurt",2008,"H",1.64,3.58,5.12,"",NA
"2008-11-15","D1","Hertha","Hamburg",2008,"H",2.49,3.23,2.7,"",NA
"2008-11-15","D1","Hoffenheim","Wolfsburg",2008,"H",2.06,3.28,3.35,"",NA
"2008-11-15","D1","Leverkusen","Schalke 04",2008,"H",2.18,3.25,3.15,"",NA
"2008-11-15","D1","M'gladbach","Bayern Munich",2008,"D",6.41,3.84,1.51,"",NA
"2008-11-15","D1","Stuttgart","Bielefeld",2008,"D",1.35,4.58,8.35,"",NA
"2008-11-16","D1","Werder Bremen","FC Koln",2008,"H",1.45,4.01,6.95,"",NA
"2008-11-16","D2","Frankfurt FSV","Freiburg",2008,"A",3.4,3.25,2.02,"",NA
"2008-11-16","D2","Greuther Furth","Duisburg",2008,"H",2.12,3.22,3.16,"",NA
"2008-11-16","D2","Ingolstadt","Nurnberg",2008,"A",2.47,3.22,2.62,"",NA
"2008-11-16","D2","Koblenz","Mainz",2008,"A",3.42,3.25,2.01,"",NA
"2008-11-16","D2","Oberhausen","Aachen",2008,"D",2.68,3.19,2.42,"",NA
"2008-11-17","D2","Kaiserslautern","Hansa Rostock",2008,"H",1.77,3.34,4.23,"",NA
"2008-11-21","D1","Karlsruhe","Dortmund",2008,"A",3.13,3.26,2.2,"",NA
"2008-11-21","D2","Aachen","Osnabruck",2008,"H",1.45,3.98,6.54,"",NA
"2008-11-21","D2","Ahlen","Ingolstadt",2008,"H",2.05,3.31,3.33,"",NA
"2008-11-21","D2","Duisburg","Frankfurt FSV",2008,"D",1.43,4.05,6.85,"",NA
"2008-11-22","D1","Bayern Munich","Cottbus",2008,"H",1.15,6.89,15.61,"",NA
"2008-11-22","D1","Bielefeld","Leverkusen",2008,"H",4.91,3.52,1.68,"",NA
"2008-11-22","D1","Bochum","Hertha",2008,"A",2.59,3.22,2.6,"",NA
"2008-11-22","D1","Ein Frankfurt","Hannover",2008,"H",2.24,3.25,3.04,"",NA
"2008-11-22","D1","FC Koln","Hoffenheim",2008,"A",2.99,3.34,2.23,"",NA
"2008-11-22","D1","Schalke 04","M'gladbach",2008,"H",1.38,4.33,8.11,"",NA
"2008-11-22","D1","Wolfsburg","Stuttgart",2008,"H",1.93,3.36,3.76,"",NA
"2008-11-23","D1","Hamburg","Werder Bremen",2008,"H",2.37,3.31,2.79,"",NA
"2008-11-23","D2","Augsburg","Kaiserslautern",2008,"H",2.78,3.22,2.32,"",NA
"2008-11-23","D2","Freiburg","Koblenz",2008,"D",1.4,4.11,7.17,"",NA
"2008-11-23","D2","Mainz","St Pauli",2008,"D",1.49,3.78,6.11,"",NA
"2008-11-23","D2","Nurnberg","Greuther Furth",2008,"H",2.01,3.24,3.42,"",NA
"2008-11-23","D2","Wehen","Oberhausen",2008,"D",2,3.25,3.43,"",NA
"2008-11-24","D2","Hansa Rostock","Munich 1860",2008,"A",1.98,3.25,3.45,"",NA
"2008-11-28","D1","Hertha","FC Koln",2008,"H",1.72,3.44,4.8,"",NA
"2008-11-28","D2","Kaiserslautern","Aachen",2008,"D",1.79,3.4,4.21,"",NA
"2008-11-28","D2","Koblenz","Ahlen",2008,"H",2.15,3.24,3.16,"",NA
"2008-11-28","D2","Osnabruck","Nurnberg",2008,"D",3.07,3.24,2.19,"",NA
"2008-11-29","D1","Hannover","Karlsruhe",2008,"H",1.83,3.33,4.21,"",NA
"2008-11-29","D1","Hoffenheim","Bielefeld",2008,"H",1.38,4.33,7.99,"",NA
"2008-11-29","D1","Leverkusen","Bayern Munich",2008,"A",2.7,3.24,2.47,"",NA
"2008-11-29","D1","M'gladbach","Cottbus",2008,"A",1.85,3.33,4.1,"",NA
"2008-11-29","D1","Werder Bremen","Ein Frankfurt",2008,"H",1.39,4.32,7.76,"",NA
"2008-11-30","D1","Bochum","Hamburg",2008,"D",3.2,3.23,2.16,"",NA
"2008-11-30","D1","Dortmund","Wolfsburg",2008,"D",2.17,3.26,3.16,"",NA
"2008-11-30","D1","Stuttgart","Schalke 04",2008,"H",2.4,3.21,2.8,"",NA
"2008-11-30","D2","Augsburg","Hansa Rostock",2008,"H",2.25,3.22,2.93,"",NA
"2008-11-30","D2","Greuther Furth","Freiburg",2008,"D",2.27,3.23,2.89,"",NA
"2008-11-30","D2","Munich 1860","Wehen",2008,"D",1.63,3.51,5.08,"",NA
"2008-11-30","D2","Oberhausen","Duisburg",2008,"A",2.61,3.21,2.49,"",NA
"2008-11-30","D2","St Pauli","Ingolstadt",2008,"H",1.71,3.42,4.54,"",NA
"2008-12-01","D2","Frankfurt FSV","Mainz",2008,"A",4.31,3.37,1.75,"",NA
"2008-12-05","D1","Bayern Munich","Hoffenheim",2008,"H",1.6,3.78,5.28,"",NA
"2008-12-05","D2","Aachen","Munich 1860",2008,"H",1.84,3.37,4,"",NA
"2008-12-05","D2","Ingolstadt","Frankfurt FSV",2008,"D",1.71,3.48,4.58,"",NA
"2008-12-05","D2","Mainz","Greuther Furth",2008,"A",1.68,3.51,4.74,"",NA
"2008-12-06","D1","Bielefeld","Dortmund",2008,"D",3.05,3.28,2.24,"",NA
"2008-12-06","D1","Cottbus","Stuttgart",2008,"A",3.29,3.26,2.13,"",NA
"2008-12-06","D1","Ein Frankfurt","Bochum",2008,"H",2.04,3.26,3.53,"",NA
"2008-12-06","D1","Karlsruhe","Werder Bremen",2008,"H",4.78,3.54,1.69,"",NA
"2008-12-06","D1","M'gladbach","Leverkusen",2008,"A",4.54,3.48,1.74,"",NA
"2008-12-06","D1","Schalke 04","Hertha",2008,"H",1.85,3.34,4.19,"",NA
"2008-12-07","D1","FC Koln","Hamburg",2008,"A",2.89,3.25,2.34,"",NA
"2008-12-07","D1","Wolfsburg","Hannover",2008,"H",1.54,3.8,5.89,"",NA
"2008-12-07","D2","Ahlen","Osnabruck",2008,"A",1.86,3.31,3.93,"",NA
"2008-12-07","D2","Duisburg","Kaiserslautern",2008,"D",2.15,3.24,3.1,"",NA
"2008-12-07","D2","Freiburg","Oberhausen",2008,"H",1.44,3.94,6.87,"",NA
"2008-12-07","D2","St Pauli","Koblenz",2008,"H",1.67,3.46,4.8,"",NA
"2008-12-07","D2","Wehen","Augsburg",2008,"A",2.42,3.18,2.7,"",NA
"2008-12-08","D2","Nurnberg","Hansa Rostock",2008,"H",1.65,3.51,4.88,"",NA
"2008-12-12","D1","Dortmund","M'gladbach",2008,"H",1.45,4.06,7.17,"",NA
"2008-12-12","D2","Frankfurt FSV","St Pauli",2008,"H",2.72,3.28,2.38,"",NA
"2008-12-12","D2","Koblenz","Ingolstadt",2008,"A",1.84,3.35,3.99,"",NA
"2008-12-12","D2","Osnabruck","Duisburg",2008,"D",2.74,3.25,2.39,"",NA
